[WARNING][2018-04-14 11:28:04,701][views.py][pubilcation][77]> 表单提交成功
[ERROR][2018-04-14 11:28:05,326][basehttp.py][log_message][124]> "POST /user/pubication HTTP/1.1" 500 79965
[ERROR][2018-04-14 11:30:37,838][basehttp.py][log_message][124]> "GET /static/admin/bower_components/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 500 59
[WARNING][2018-04-14 11:30:56,514][views.py][pubilcation][74]> POST请求成功
[WARNING][2018-04-14 11:30:56,529][views.py][pubilcation][77]> 表单提交成功
[WARNING][2018-04-14 11:33:05,357][views.py][pubilcation][74]> POST请求成功
[WARNING][2018-04-14 11:33:05,357][views.py][pubilcation][77]> 表单提交成功
[WARNING][2018-04-14 11:36:01,982][views.py][pubilcation][74]> POST请求成功
[WARNING][2018-04-14 11:36:01,998][views.py][pubilcation][77]> 表单提交成功
[WARNING][2018-04-14 11:40:37,245][views.py][pubilcation][74]> POST请求成功
[WARNING][2018-04-14 11:40:37,261][views.py][pubilcation][77]> 表单提交成功
[WARNING][2018-04-14 11:44:27,743][views.py][pubilcation][74]> POST请求成功
[WARNING][2018-04-14 11:44:27,753][views.py][pubilcation][77]> 表单提交成功
[WARNING][2018-04-14 11:46:05,358][views.py][pubilcation][74]> POST请求成功
[WARNING][2018-04-14 11:46:05,358][views.py][pubilcation][77]> 表单提交成功
[ERROR][2018-04-14 12:02:23,391][basehttp.py][log_message][124]> "GET /static/ui/themes/default/easyui.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:23,395][basehttp.py][log_message][124]> "GET /static/ui/themes/icon.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:23,399][basehttp.py][log_message][124]> "GET /static/ui/demo/demo.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:23,442][basehttp.py][log_message][124]> "GET /static/admin/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:25,452][basehttp.py][log_message][124]> "GET /static/admin/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:25,474][basehttp.py][log_message][124]> "GET /static/admin/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:25,486][basehttp.py][log_message][124]> "GET /static/admin/dist/css/sb-admin-2.css HTTP/1.1" 500 59
[WARNING][2018-04-14 12:02:41,090][views.py][pubilcation][74]> POST请求成功
[WARNING][2018-04-14 12:02:41,090][views.py][pubilcation][77]> 表单提交成功
[ERROR][2018-04-14 12:02:47,575][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:47,622][basehttp.py][log_message][124]> "GET /static/css/style.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:47,622][basehttp.py][log_message][124]> "GET /static/images/4.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:47,653][basehttp.py][log_message][124]> "GET /static/images/5.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:47,668][basehttp.py][log_message][124]> "GET /static/images/6.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:49,419][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:02:49,434][basehttp.py][log_message][124]> "GET /static/css/style.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:27:08,610][basehttp.py][log_message][124]> "GET /static/images/4.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 12:27:08,610][basehttp.py][log_message][124]> "GET /static/images/5.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 12:27:08,672][basehttp.py][log_message][124]> "GET /static/images/6.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 12:27:19,102][basehttp.py][log_message][124]> "GET /media/zzh.jpg HTTP/1.1" 500 59
[ERROR][2018-04-14 12:29:51,497][basehttp.py][log_message][124]> "GET /static/ui/themes/default/easyui.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:29:51,528][basehttp.py][log_message][124]> "GET /static/ui/themes/icon.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:29:51,560][basehttp.py][log_message][124]> "GET /static/ui/demo/demo.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:29:51,575][basehttp.py][log_message][124]> "GET /static/admin/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:29:51,575][basehttp.py][log_message][124]> "GET /static/admin/bower_components/metisMenu/dist/metisMenu.min.css HTTP/1.1" 500 59
[ERROR][2018-04-14 12:29:51,591][basehttp.py][log_message][124]> "GET /static/admin/dist/css/sb-admin-2.css HTTP/1.1" 500 59
[WARNING][2018-04-14 12:45:21,192][views.py][pubilcation][74]> POST请求成功
[WARNING][2018-04-14 12:45:21,203][views.py][pubilcation][77]> 表单提交成功
[ERROR][2018-04-14 12:45:25,589][basehttp.py][log_message][124]> "GET /static/images/banner.png HTTP/1.1" 500 59
[ERROR][2018-04-14 12:45:25,602][basehttp.py][log_message][124]> "GET /static/images/img-sp.png HTTP/1.1" 500 59
[ERROR][2018-04-14 14:05:45,324][basehttp.py][log_message][124]> "GET /static/css/style.css HTTP/1.1" 500 59
[ERROR][2018-04-14 14:05:45,324][basehttp.py][log_message][124]> "GET /static/css/bootstrap.css HTTP/1.1" 500 59
